opened_at,signal,prob,entry,tp,sl,rr,est_minutes,order_type,closed_at,outcome,pnl_pct,hit_tp,hit_sl
2026-05-18T12:08:19.609271+00:00,CASCADE_LONG,0.7119,77442.9,77752.67,77133.13,1.0,1.0,market,2026-05-18T12:11:19.609271+00:00,EXPIRED,-0.049,0,0
2026-05-18T12:14:47.157750+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T12:17:47.157750+00:00,LOSS,-0.4,0,1
2026-05-18T12:24:16.927831+00:00,CASCADE_LONG,0.6458,77470.7,77780.58,77160.82,1.0,1.0,market,2026-05-18T12:27:16.927831+00:00,EXPIRED,-0.296,0,0
2026-05-18T12:36:38.172573+00:00,CASCADE_LONG,0.7733,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T12:39:38.172573+00:00,LOSS,-0.4,0,1
2026-05-18T13:04:11.267849+00:00,CASCADE_SHORT,0.815,80900.0,80576.4,81223.6,1.0,1.0,market,2026-05-18T13:07:11.267849+00:00,WIN,0.4,1,0
2026-05-18T13:10:18.332581+00:00,CASCADE_LONG,0.7837,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T13:13:18.332581+00:00,LOSS,-0.4,0,1
2026-05-18T13:38:26.236006+00:00,CASCADE_SHORT,0.6764,76739.5,76432.54,77046.46,1.0,1.0,market,2026-05-18T13:41:26.236006+00:00,EXPIRED,-0.183,0,0
2026-05-18T14:01:07.169847+00:00,CASCADE_LONG,0.7798,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T14:04:07.169847+00:00,LOSS,-0.4,0,1
2026-05-18T14:05:19.962229+00:00,CASCADE_LONG,0.7091,76914.2,77221.86,76606.54,1.0,1.0,market,2026-05-18T14:08:19.962229+00:00,EXPIRED,-0.264,0,0
2026-05-18T14:14:38.817125+00:00,CASCADE_LONG,0.7798,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T14:17:38.817125+00:00,LOSS,-0.4,0,1
2026-05-18T14:33:20.294094+00:00,CASCADE_SHORT,0.6206,76449.9,76335.23,76564.57,1.0,1.0,market,2026-05-18T14:36:20.294094+00:00,WIN,0.15,1,0
2026-05-18T17:17:40.435781+00:00,CASCADE_SHORT,0.7701,79674.7,79579.09,79770.31,1.0,1.0,market,2026-05-18T17:20:40.435781+00:00,WIN,0.12,1,0
2026-05-18T19:11:40.674412+00:00,CASCADE_LONG,0.7892,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-18T19:14:40.674412+00:00,LOSS,-0.12,0,1
2026-05-19T00:43:42.862764+00:00,CASCADE_LONG,0.7892,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T00:46:42.862764+00:00,LOSS,-0.12,0,1
2026-05-19T07:11:05.048535+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T07:14:05.048535+00:00,LOSS,-0.12,0,1
2026-05-19T08:25:54.062920+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T08:28:54.062920+00:00,LOSS,-0.12,0,1
2026-05-19T14:01:55.069914+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T14:04:55.069914+00:00,LOSS,-0.12,0,1
2026-05-19T14:21:54.339369+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T14:24:54.339369+00:00,LOSS,-0.12,0,1
2026-05-19T17:51:59.441658+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T17:54:59.441658+00:00,LOSS,-0.12,0,1
2026-05-21T05:35:22.860439+00:00,CASCADE_SHORT,0.6616,77860.59,77767.16,77954.02,1.0,1.0,maker,2026-05-21T05:38:22.860439+00:00,EXPIRED,0.012,0,0
2026-05-21T06:30:56.356559+00:00,CASCADE_SHORT,0.6616,77860.59,77767.16,77954.02,1.0,1.0,maker,2026-05-21T06:31:26.356559+00:00,UNFILLED,0.0,0,0
2026-05-21T23:31:01.144373+00:00,CASCADE_SHORT,0.6616,77860.59,77767.16,77954.02,1.0,1.0,maker,2026-05-21T23:31:31.144373+00:00,UNFILLED,0.0,0,0
2026-05-22T18:46:17.644051+00:00,CASCADE_SHORT,0.8562,76077.2,75985.91,76168.49,1.0,1.0,maker,2026-05-22T18:49:17.644051+00:00,LOSS,-0.12,0,1
2026-05-22T19:31:24.271835+00:00,CASCADE_SHORT,0.7805,75710.49,75619.64,75801.34,1.0,1.0,maker,2026-05-22T19:34:24.271835+00:00,LOSS,-0.12,0,1
2026-05-23T07:51:21.062768+00:00,CASCADE_SHORT,0.7162,74276.31,74187.18,74365.44,1.0,1.0,maker,2026-05-23T07:54:21.062768+00:00,LOSS,-0.12,0,1
